Name;URL;Pattern;Difficulty;Premium;Companies
Maximum Product Subarray;https://leetcode.com/problems/maximum-product-subarray/;Dynamic Programming,Dynamic Programming;Medium;false;LinkedIn,Amazon,Microsoft,Google,Apple,Facebook,Bloomberg,Bloomberg
Coin Change;https://leetcode.com/problems/coin-change/;Dynamic Programming,Dynamic Programming;Medium;false;Amazon,Microsoft,Google,Apple,Apple
House Robber II;https://leetcode.com/problems/house-robber-ii/;Dynamic Programming,Dynamic Programming;Medium;false;Amazon,Google,Google
House Robber;https://leetcode.com/problems/house-robber/;Dynamic Programming,Dynamic Programming;Medium;false;Amazon,Microsoft,Google,Apple,Adobe,Qualtrics,Bloomberg,Facebook,Goldman Sachs,Goldman Sachs
Maximum XOR of Two Numbers in an Array;https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array;Trie,Trie;Medium;false;Adobe,Adobe
Generalized Abbreviation;https://leetcode.com/problems/generalized-abbreviation/;Backtracking,Backtracking;Medium;true;Google,Google
Linked List Cycle II;https://leetcode.com/problems/linked-list-cycle-ii/;Fast & Slow Pointers,Fast & Slow Pointers;Medium;false;Microsoft,Amazon,Goldman Sachs,Oracle,Oracle
Add Two Numbers;https://leetcode.com/problems/add-two-numbers/;Fast & Slow Pointers,Fast & Slow Pointers;Medium;false;Amazon,Bloomberg,Adobe,Microsoft,Facebook,Google,Apple,Uber,Capital One,Oracle,Oracle
Remove Nth Node From End Of List;https://leetcode.com/problems/remove-nth-node-from-end-of-list/;Fast & Slow Pointers,Fast & Slow Pointers;Medium;false;Facebook,Microsoft,Amazon,Google,Apple,Apple
Sort List;https://leetcode.com/problems/sort-list/;Fast & Slow Pointers,Fast & Slow Pointers;Medium;false;Facebook,Amazon,Apple,Uber,Uber
Reorder List;https://leetcode.com/problems/reorder-list/;Fast & Slow Pointers,Fast & Slow Pointers;Medium;false;Amazon,Adobe,Facebook,Google,Snapchat,Uber,Uber
Clone Graph;https://leetcode.com/problems/clone-graph/;BFS,BFS,DFS,BFS,BFS,DFS,Graph,Graph;Medium;false;Facebook,Microsoft,Amazon,Salesforce,Google,Twitter,Bloomberg,Oracle,Apple,Apple
Pacific Atlantic Water Flow;https://leetcode.com/problems/pacific-atlantic-water-flow/;BFS,BFS,DFS,DFS;Medium;false;Google,Amazon,Microsoft,Facebook,Apple,Apple
Number of Islands;https://leetcode.com/problems/number-of-islands/;BFS,BFS,DFS,BFS,BFS,DFS,Union Find,Union Find;Medium;false;Amazon,Microsoft,Bloomberg,Google,LinkedIn,Facebook,Apple,Oracle,Goldman Sachs,Salesforce,Lyft,Uber,Adobe,Qualtrics,Qualtrics
Graph Valid Tree;https://leetcode.com/problems/graph-valid-tree/;BFS,BFS,DFS,BFS,BFS,DFS,Graph,BFS,BFS,DFS,BFS,BFS,DFS,Graph,Union Find,Union Find;Medium;true;LinkedIn,Google,Bloomberg,Bloomberg
Letter Combinations of a Phone Number;https://leetcode.com/problems/letter-combinations-of-a-phone-number/;Backtracking,Backtracking;Medium;false;Amazon,Microsoft,Facebook,Google,Uber,Apple,Adobe,Twitter,Bloomberg,Oracle,Goldman Sachs,Snapchat,Intuit,Intuit
Palindrome Partitioning;https://leetcode.com/problems/palindrome-partitioning/;Backtracking,Backtracking;Medium;false;Apple,Apple
Reverse Linked List II;https://leetcode.com/problems/reverse-linked-list-ii/;In-place reversal of a linked list,In-place reversal of a linked list;Medium;false;Apple,Facebook,Amazon,Google,Adobe,Adobe
Rotate List;https://leetcode.com/problems/rotate-list/;In-place reversal of a linked list,In-place reversal of a linked list;Medium;false;Amazon,LinkedIn,Microsoft,Adobe,Apple,Oracle,Oracle
